,ada_b,gtree_b,knn,rf,svm
2,0.5464190981432361,0.5358090185676393,0.5490716180371353,0.5358090185676393,0.583554376657825
3,0.5384615384615384,0.53315649867374,0.5464190981432361,0.53315649867374,0.583554376657825
4,0.5212765957446809,0.5132978723404256,0.5398936170212766,0.5132978723404256,0.5824468085106383
5,0.49333333333333335,0.5066666666666667,0.5386666666666666,0.512,0.584
6,0.5240641711229946,0.5053475935828877,0.5427807486631016,0.5053475935828877,0.5828877005347594
7,0.4893048128342246,0.5080213903743316,0.5320855614973262,0.5106951871657754,0.5828877005347594
8,0.5308310991957105,0.5254691689008043,0.5335120643431636,0.5227882037533512,0.5817694369973191
9,0.5161290322580645,0.543010752688172,0.5161290322580645,0.4838709677419355,0.5833333333333334
10,0.5013477088948787,0.49865229110512127,0.5202156334231806,0.5121293800539084,0.5822102425876011
11,0.48787061994609165,0.49595687331536387,0.5175202156334232,0.49326145552560646,0.5822102425876011
12,0.5351351351351351,0.5459459459459459,0.5162162162162162,0.5162162162162162,0.5837837837837838
